Name,R,G,B
K10010,243,241,231
K10020,245,240,230
K10030,234,235,230
K10040,238,236,226
K10050,241,235,214
K10060,243,232,208
K10070,248,235,216
K10080,245,230,205
K10090,234,225,208
K10100,225,206,181
K10110,240,224,200
K10120,248,226,201
K10130,247,223,191
K10140,236,214,186
K10150,231,212,185
K10160,222,195,159
K10170,244,241,212
K10180,244,239,197
K10190,248,236,183
K10200,241,230,162
K10210,248,239,171
K10220,250,237,145
K10230,252,230,163
K10240,255,224,140
K10250,251,231,186
K10260,250,220,150
K10270,254,226,169
K10280,255,217,143
K10290,250,213,133
K10300,238,197,123
K10310,244,205,150
K10320,231,183,126
K10330,245,235,205
K10340,244,232,188
K10350,248,234,194
K10360,237,220,178
K10370,247,231,197
K10380,248,227,184
K10390,251,226,185
K10400,255,216,158
K10410,245,212,161
K10420,250,207,140
K10430,252,216,167
K10440,255,208,142
K10450,252,220,180
K10460,255,207,154
K10470,251,225,192
K10480,252,221,174
K10490,242,200,149
K10500,243,183,117
K10510,242,208,178
K10520,242,189,144
K10530,244,187,134
K10540,222,154,98
K10550,241,207,163
K10560,239,198,155
K10570,229,202,169
K10580,216,180,141
K10590,236,223,213
K10600,218,199,183
K10610,228,212,201
K10620,214,195,182
K10630,228,208,190
K10640,220,196,174
K10650,240,230,224
K10660,232,215,204
K10670,213,181,161
K10680,193,156,135
K10690,178,142,122
K10700,167,128,107
K10710,242,225,208
K10720,236,205,183
K10730,237,202,177
K10740,222,176,152
K10750,217,165,135
K10760,194,140,114
K10770,236,201,171
K10780,229,185,149
K10790,220,169,130
K10800,209,152,112
K10810,251,214,186
K10820,252,200,164
K10830,249,213,190
K10840,251,202,175
K10850,247,226,214
K10860,247,216,201
K10870,248,203,189
K10880,247,188,170
K10890,217,167,153
K10900,206,151,137
K10910,231,188,176
K10920,217,161,148
K10930,240,215,203
K10940,231,198,182
K10950,240,213,207
K10960,237,201,193
K10970,246,222,224
K10980,246,212,217
K10990,243,193,200
K11000,244,185,190
K11010,223,213,214
K11020,220,201,205
K11030,222,197,202
K11040,214,182,188
K11050,227,218,230
K11060,220,211,229
K11070,202,183,211
K11080,186,163,197
K11090,210,207,216
K11100,211,201,210
K11110,197,194,206
K11120,178,172,188
K11130,221,207,205
K11140,201,180,178
K11150,203,191,187
K11160,195,180,181
K11170,185,174,172
K11180,170,158,157
K11190,180,161,161
K11200,152,134,133
K11210,163,141,140
K11220,147,122,122
K11230,178,148,148
K11240,156,126,131
K11250,202,161,150
K11260,188,139,127
K11270,195,131,116
K11280,173,110,102
K11290,208,177,169
K11300,182,140,131
K11310,212,181,172
K11320,194,158,147
K11330,221,217,204
K11340,216,208,195
K11350,224,215,203
K11360,207,193,176
K11370,218,209,191
K11380,205,193,171
K11390,202,193,177
K11400,191,181,166
K11410,164,157,143
K11420,149,141,125
K11430,214,219,213
K11440,173,175,166
K11450,210,209,203
K11460,195,190,181
K11470,185,182,177
K11480,181,175,169
K11490,171,167,160
K11500,166,163,157
K11510,222,216,210
K11520,203,195,189
K11530,201,187,177
K11540,170,159,151
K11550,196,183,175
K11560,189,171,159
K11570,183,168,157
K11580,172,153,141
K11590,212,216,214
K11600,202,210,208
K11610,219,219,217
K11620,209,211,211
K11630,203,208,208
K11640,196,199,200
K11650,210,209,207
K11660,193,192,191
K11670,235,233,230
K11680,216,215,213
K11690,215,211,210
K11700,191,186,188
K11710,203,201,203
K11720,186,187,191
K11730,194,199,201
K11740,173,182,187
K11750,181,184,185
K11760,168,172,172
K11770,163,165,169
K11780,140,142,147
K11790,152,158,162
K11800,129,136,140
K11810,190,208,213
K11820,180,194,199
K11830,163,189,199
K11840,148,179,191
K11850,217,235,236
K11860,197,224,229
K11870,182,215,221
K11880,158,197,205
K11890,195,216,231
K11900,171,202,227
K11910,162,203,229
K11920,114,175,216
K11930,201,229,234
K11940,167,218,230
K11950,174,223,236
K11960,132,209,233
K11970,171,216,232
K11980,125,194,220
K11990,143,203,226
K12000,110,188,216
K12010,193,220,210
K12020,170,206,195
K12030,203,228,223
K12040,176,215,209
K12050,211,232,224
K12060,155,201,194
K12070,211,198,160
K12080,192,182,144
